Particles,Pixel Count,Particle_Area,dia,,,,,,
53,481,9.285777476,3.438457712,,,,,,
116,481,9.285777476,3.438457712,,,,,,
118,484,9.343692928,3.449163886,,,,,,
44,492,9.498134134,3.477552545,,,,,,
76,493,9.517439285,3.481084849,,,,,,
102,494,9.536744435,3.484613572,,,,,,
115,497,9.594659887,3.495178367,,,,,,
25,500,9.652575339,3.505711325,,,,,,
164,502,9.691185641,3.51271575,,,,,,
15,504,9.729795942,3.519706236,,,,,,
21,508,9.807016545,3.533645721,,,,,,
52,513,9.903542298,3.550993129,,,,,,
168,517,9.980762901,3.564810275,,,,,,
51,529,10.21242471,3.605944063,,,,,,
197,532,10.27034016,3.616154401,,,,,,
145,538,10.38617107,3.636489076,,,,,,
184,544,10.50200197,3.656710672,,,,,,
40,550,10.61783287,3.676821056,,,,,,
31,552,10.65644317,3.683500118,,,,,,
60,560,10.81088438,3.710096133,,,,,,
28,576,11.11976679,3.762724239,,,,,,
59,599,11.56378526,3.837112749,,,,,,
104,601,11.60239556,3.843513275,,,,,,
95,604,11.66031101,3.853094129,,,,,,
112,606,11.69892131,3.859468151,,,,,,
114,607,11.71822646,3.862651218,,,,,,
133,612,11.81475222,3.87852737,,,,,,
152,621,11.98849857,3.906941869,,,,,,
11,627,12.10432948,3.925770614,,,,,,
14,636,12.27807583,3.953845612,,,,,,
180,657,12.683484,4.018591249,,,,,,
101,661,12.7607046,4.03080584,,,,,,
62,685,13.22402821,4.103329902,,,,,,
7,690,13.32055397,4.118278331,,,,,,
160,690,13.32055397,4.118278331,,,,,,
138,694,13.39777457,4.130198119,,,,,,
18,704,13.59082608,4.159848164,,,,,,
185,721,13.91901364,4.209774002,,,,,,
56,737,14.22789605,4.256228087,,,,,,
121,749,14.45955786,4.29073861,,,,,,
38,783,15.11593298,4.387044406,,,,,,
154,787,15.19315358,4.398235864,,,,,,
162,825,15.92674931,4.503167732,,,,,,
151,920,17.76073862,4.755378205,,,,,,
100,981,18.93835282,4.910499296,,,,,,
188,1002,19.34376098,4.962779849,,,,,,
110,1047,20.21249276,5.072995653,,,,,,
49,1050,20.27040821,5.080258356,,,,,,
167,1112,21.46732755,5.228095871,,,,,,
83,1133,21.87273572,5.277230992,,,,,,
71,1307,25.23183194,5.667988275,,,,,,
1,1697,32.7608407,6.458506047,,,,,,
122,1910,36.8728378,6.851849782,,,,,,
150,2054,39.65277949,7.105446421,,,,,,
126,2161,41.71843062,7.288170648,,,,,,
125,2989,57.70309538,8.571446266,,,,,,
