Particles,Pixel Count,area,dia
1,1,0.01930515067867789,0.15678035993441128
2,559,10.79157922938094,3.7067864013172414
3,1086,20.965393637044187,5.16662058309139
4,266,5.135170080528319,2.5570102884950434
5,302,5.8301555049607225,2.724552172536139
6,605,11.679616160600123,3.856286965852509
7,222,4.285743450666491,2.3359747515712384
8,429,8.281909641152813,3.2472842285576364
9,467,9.015505366942573,3.3880522352766906
10,176,3.397706519447308,2.079926513597244
11,562,10.849494681416973,3.716719745793852
12,589,11.370733749741277,3.804953069727054
13,2525,48.745505463661665,7.878115585876992
14,427,8.243299339795458,3.2397059586506978
15,174,3.3590962180899524,2.0680749839989985
16,329,6.351394573285026,2.843738162159591
17,390,7.529008764684376,3.09616402857694
18,313,6.042512162426179,2.7737277146007306
19,396,7.644839668756444,3.1198897703958655
20,372,7.181516052468174,3.0238700747804694
21,567,10.946020434810363,3.7332165856108235
22,338,6.525140929393126,2.882371847328738
23,229,4.420879505417236,2.372517356903096
24,440,8.494266298618271,3.2886525743702335
25,427,8.243299339795458,3.2397059586506978
26,664,12.818620050642117,4.039947271612911
27,253,4.8842031217055055,2.4937442850208957
28,474,9.150641421693319,3.4133500432553827
29,258,4.980728875098896,2.5182654676146035
30,155,2.992298355195073,1.9518997401199558
31,1686,32.54848404425092,6.4375474372094335
32,396,7.644839668756444,3.1198897703958655
33,400,7.722060271471156,3.1356071986882257
34,541,10.444086517164738,3.6466181541655116
35,632,12.200855228924425,3.941397132623832
36,573,11.06185133888243,3.752917073776973
37,933,18.01170558320647,4.788863729181025
38,2073,40.01957735689926,7.138242672702578
39,594,11.467259503134665,3.821068995599419
40,354,6.8340233402519726,2.94980486921625
41,511,9.864931996804401,3.5440684988378224
42,172,3.3204859167325966,2.0561551441756847
43,413,7.973027230293968,3.1861534113819046
44,242,4.671846464240049,2.438930024662778
45,475,9.169946572371996,3.4169487264301592
46,635,12.25877068096046,3.9507406395306255
47,516,9.961457750197791,3.561365177956396
48,821,15.849528707194546,4.492242949286612
49,375,7.239431504504208,3.036038615191897
50,381,7.355262408576276,3.0602305404173906
51,397,7.664144819435122,3.123826541388291
52,398,7.6834499701137995,3.127758357345256
53,564,10.88810498277433,3.7233272527802663
54,498,9.613965037981588,3.498696967166412
55,812,15.675782351086445,4.467552572053831
56,824,15.90744415923058,4.500442973663678
57,470,9.073420818978608,3.3989172088691526
58,636,12.278075831639137,3.953850235163191
59,756,14.594693913080484,4.310747201291169
60,617,11.911277968744256,3.8943433513415213
61,179,3.455621971483342,2.0975782573597286
62,520,10.038678352912502,3.5751422707082647
63,214,4.131302245237068,2.293498940459533
64,681,13.146807612179641,4.0913366200854675
65,908,17.529076816239524,4.724268597903437
66,489,9.440218681873487,3.4669380924252136
67,602,11.621700708564088,3.8467140417790944
68,574,11.081156489561108,3.7561904429764845
69,404,7.799280874185867,3.1512462343507965
70,450,8.68731780540505,3.3258136699946976
71,392,7.567619066041733,3.104092758661718
72,446,8.610097202690339,3.3109992815582046
73,750,14.478863009008416,4.293606985492811
74,462,8.918979613549185,3.369866101591807
75,607,11.718226461957478,3.862655734792615
76,498,9.613965037981588,3.498696967166412
77,465,8.976895065585218,3.380789521168251
78,339,6.544446080071804,2.886632561919588
79,219,4.227827998630458,2.320137452004691
80,968,18.687385856960194,4.877860049325556
81,344,6.640971833465193,2.90784249123646
82,439,8.474961147939593,3.2849133434005227
83,654,12.625568543855339,4.009410573239035
84,158,3.0502138072311062,1.970698566311916
85,421,8.12746843572339,3.216864033643613
86,794,15.328289638870244,4.417757861332359
87,246,4.74906706695476,2.4590038613727785
88,189,3.648673478270121,2.1553736006455844
89,530,10.23172985969928,3.609354937993309
90,656,12.664178845212694,4.015536490597899
91,541,10.444086517164738,3.6466181541655116
92,1237,23.880471389524548,5.51412373093489
93,543,10.482696818522093,3.6533524501219166
94,271,5.231695833921708,2.580930456594157
95,208,4.015471341165001,2.2611185069168798
96,493,9.5174392845882,3.4810889189668273
97,303,5.8494606556394,2.7290592925278405
98,282,5.444052491387165,2.6327899490176048
99,131,2.5289747389068036,1.7944332378810937
100,310,5.984596710390146,2.7604030848701613
101,310,5.984596710390146,2.7604030848701613
102,507,9.787711394089689,3.530170137459372
103,472,9.112031120335963,3.4061412705977414
104,245,4.7297619162760824,2.4540007964515964
105,203,3.9189455877716113,2.2337762860269157
106,751,14.498168159687093,4.296468436650481
107,383,7.393872709933631,3.068252128333922
108,354,6.8340233402519726,2.94980486921625
109,652,12.586958242497984,4.003275281850929
110,797,15.386205090906277,4.426095882959084
111,1303,25.154611334317288,5.659314965903215
112,582,11.235597694990531,3.782275412234967
113,441,8.513571449296949,3.2923875586226368
114,153,2.953688053837717,1.9392659520957984
115,619,11.949888270101614,3.900649984382121
116,1001,19.324455829356566,4.960308593467216
117,901,17.39394076148878,4.706023078599207
118,734,14.16998059814957,4.247561611759628
119,421,8.12746843572339,3.216864033643613
120,521,10.05798350359118,3.5785782563842603
121,466,8.996200216263896,3.384422826377079
122,328,6.332089422606347,2.8394130826038055
123,423,8.166078737080747,3.2244959875106347
124,293,5.656409148852621,2.6836474823495204
125,309,5.965291559711467,2.755947225492451
126,561,10.830189530738295,3.713411583370843
127,453,8.745233257441084,3.3368813001524478
128,521,10.05798350359118,3.5785782563842603
129,417,8.05024783300868,3.201545546436159
130,229,4.420879505417236,2.372517356903096
131,425,8.204689038438103,3.2321099201596644
132,345,6.660276984143872,2.912065939346399
133,241,4.652541313561371,2.4338856965643263
134,475,9.169946572371996,3.4169487264301592
135,550,10.617832873272839,3.6768253553357626
136,458,8.841759010834473,3.3552462230979274
137,305,5.8880709569967555,2.738051275022965
138,1395,26.930685196755654,5.855699220359867
139,1510,29.150777524803612,6.092283866035542
140,624,12.046414023495002,3.9163721359143153
141,296,5.714324600888655,2.6973513032796474
142,327,6.312784271927669,2.835081404898364
143,385,7.432483011290987,3.0762527993563804
144,488,9.42091353119481,3.4633913517602677
145,275,5.308916436636419,2.5999081419965546
146,295,5.695019450209977,2.6927911118471943
147,820,15.830223556515868,4.489506279553924
148,1953,37.702959275457914,6.928556754696639
149,397,7.664144819435122,3.123826541388291
150,331,6.390004874642381,2.8523686468346154
151,707,13.648741529825267,4.168706928010487
152,280,5.405442190029809,2.6234372020549293
153,494,9.536744435266877,3.4846176466026795
154,669,12.915145804035507,4.055129389269647
155,379,7.3166521072189195,3.0521878706889893
