Particles,Pixel Count,area,dia
1,490,9.459523832552165,3.470481208416225
2,336,6.48653062803577,2.873831467527446
3,1015,19.594727938858057,4.994875622083197
4,439,8.474961147939593,3.2849133434005227
5,435,8.397740545224881,3.2699136607265555
6,311,6.003901861068823,2.7648517631551
7,541,10.444086517164738,3.6466181541655116
8,717,13.841793036612046,4.198085071107334
9,609,11.756836763314833,3.869014020141127
10,164,3.1660447113031736,2.0077682452989496
11,314,6.061817313104857,2.7781550561488384
12,377,7.278041805861564,3.044123952052324
13,245,4.7297619162760824,2.4540007964515964
14,789,15.231763885476854,4.403826076840233
15,436,8.417045695903559,3.2736700245851456
16,339,6.544446080071804,2.886632561919588
17,397,7.664144819435122,3.123826541388291
18,490,9.459523832552165,3.470481208416225
19,606,11.6989213112788,3.8594726640131958
20,363,7.007769696360073,2.987067039388699
21,431,8.32051994251017,3.254844853992505
22,1176,22.702857198125198,5.3764463694087326
23,594,11.467259503134665,3.821068995599419
24,270,5.21239068324303,2.5761641912956867
25,538,10.386171065128703,3.6364933271636826
26,275,5.308916436636419,2.5999081419965546
27,401,7.741365422149833,3.139524261050802
28,447,8.629402353369017,3.3147090858384707
29,699,13.494300324395844,4.145054499225954
30,389,7.509703614005699,3.0921920397337264
31,424,8.185383887759425,3.228305198511031
32,600,11.583090407206733,3.8403188352919515
33,740,14.285811502221637,4.264886883993646
34,556,10.733663777344907,3.6968263661155274
35,509,9.826321695447046,3.537126144475519
36,642,12.393906735711205,3.9724566919812987
37,1274,24.59476196463563,5.595982802575644
38,519,10.019373202233824,3.5717029796084505
39,3524,68.03135099166087,9.306997709483996
40,702,13.552215776431877,4.153939942432583
41,443,8.552181750654304,3.2998448446397375
42,315,6.081122463783535,2.782575353385155
43,1099,21.216360595867,5.197452193721338
44,1133,21.872735718942046,5.277237162464683
45,759,14.652609365116517,4.319291802740715
46,2509,48.43662305280282,7.85311555271278
47,472,9.112031120335963,3.4061412705977414
48,577,11.139071941597141,3.7659934795072827
49,493,9.5174392845882,3.4810889189668273
50,886,17.104363501308608,4.6666853330164555
51,273,5.270306135279063,2.590436678303033
52,313,6.042512162426179,2.7737277146007306
53,1489,28.745369360551376,6.049771978998261
54,711,13.725962132539978,4.180482959741289
55,345,6.660276984143872,2.912065939346399
56,876,16.91131199452183,4.640274904009382
57,766,14.787745419867262,4.339163772669946
58,824,15.90744415923058,4.500442973663678
59,289,5.579188546137909,2.6652661188849915
60,827,15.965359611266614,4.5086280843491915
61,603,11.641005859242767,3.8499076612928813
62,692,13.359164269645099,4.124247353484654
63,859,16.583124432984306,4.595028814201222
64,1250,24.13143834834736,5.543022783324496
65,547,10.559917421236804,3.666783938256584
66,404,7.799280874185867,3.1512462343507965
67,3339,64.45989811610546,9.059408994577135
68,517,9.980762900876469,3.5648144428597623
69,335,6.4672254773570925,2.8695517459160396
70,50,0.9652575339338945,1.1086045566648992
71,333,6.428615175999737,2.8609730966871156
72,220,4.2471331493091355,2.325428536303789
73,621,11.988498571458969,3.906946437204197
74,851,16.428683227554885,4.573581654813893
75,744,14.363032104936348,4.276398070608685
76,501,9.671880490017623,3.5092193878187414
77,559,10.79157922938094,3.7067864013172414
78,347,6.698887285501227,2.9204945125138915
79,289,5.579188546137909,2.6652661188849915
80,333,6.428615175999737,2.8609730966871156
81,667,12.876535502678152,4.049063373324267
82,443,8.552181750654304,3.2998448446397375
83,1134,21.892040869620725,5.279565526647005
84,514,9.922847448840434,3.5544566066050187
85,409,7.895806627579256,3.170686555908025
86,360,6.949854244324039,2.9746981786424787
87,528,10.193119558341925,3.6025383975600254
88,488,9.42091353119481,3.4633913517602677
89,500,9.652575339338943,3.5057154235022807
90,1298,25.058085580923898,5.648446288758555
91,33,0.6370699723963703,0.9006345993900063
92,439,8.474961147939593,3.2849133434005227
93,636,12.278075831639137,3.953850235163191
94,905,17.47116136420349,4.716457732382748
95,641,12.374601585032526,3.9693616726629783
96,642,12.393906735711205,3.9724566919812987
97,332,6.409310025321059,2.8566741113935796
98,635,12.25877068096046,3.9507406395306255
99,277,5.347526737993775,2.609345226171176
100,153,2.953688053837717,1.9392659520957984
101,570,11.003935886846396,3.743079790608694
102,297,5.7336297515673325,2.701903798170019
103,336,6.48653062803577,2.873831467527446
104,251,4.84559282034815,2.4838680312271126
105,515,9.942152599519112,3.5579125691195994
106,304,5.868765806318078,2.733558981144127
107,487,9.401608380516132,3.4598409752742465
