Particles,Pixel Count,area,dia
1,329,6.351394573285026,2.843738162159591
2,604,11.660311009921445,3.8530986337936883
3,241,4.652541313561371,2.4338856965643263
4,1297,25.03878043024522,5.646270042756468
5,309,5.965291559711467,2.755947225492451
6,333,6.428615175999737,2.8609730966871156
7,472,9.112031120335963,3.4061412705977414
8,352,6.795413038894616,2.9414602842686097
9,917,17.702823172347625,4.747624091741782
10,350,6.756802737537261,2.933091959248336
11,563,10.86879983209565,3.7200249663187854
12,518,10.000068051555147,3.5682603735269547
13,582,11.235597694990531,3.782275412234967
14,1090,21.042614239758898,5.176126792754238
15,252,4.864897971026828,2.488811057073882
16,426,8.22399418911678,3.2359101682920177
17,366,7.065685148396107,2.999384893871719
18,302,5.8301555049607225,2.724552172536139
